CITY_ID,CITY_NAME,CITY_COUNTRY
1,Turin,110
2,Gaydon,234
3,Ingolstadt,83
4,Munich,83
5,Crewe,234
6,Detroit,236
7,AuburnHills,236
8,Seoul,119
9,Ikeda,112
10,Maranello,110
11,ManhattanBeach,236
12,Dearborn,236
13,Portland,236
14,Tokyo,112
15,Seoul,119
16,Yokohama,112
17,Whitley,234
18,Toledo,236
19,Sant'AgataBolognese,110
20,Nagoya,112
21,Hethel,234
22,Fuchū,112
23,Modena,110
24,Stuttgart,83
25,Woking,234
26,Dearborn,236
27,Oxford,234
28,Yokohama,112
29,Lansing,236
30,Braselton,236
31,Gothenburg,214
32,Stuttgart,83
33,Plymouth,236
34,Goodwood,234
35,Trollhättan,214
36,SpringHill,236
37,Böblingen,83
38,Hamamatsu,112
39,PaloAlto,236
40,ToyotaCity,112
41,Wolfsburg,83
42,Torrance,236
